InvoiceID,ContractTitle,Provider,InvoiceAmount,InvoiceDate,ContractNumber
INV305001,Management of Active Melbourne recreation facilities,Victorian YMCA Community Programming Pty Ltd (AU),0.0m,2029-02-21,3615
INV305002,Open spaces management - region 1,Citywide Service Solutions P/L,225976.71 AUD,25/04/10,3676
INV305003,Civil infrastructure services,CitywideServiceSolutionsPtyLtd,"$189,301.25",13 December 2026,3665
INV305004,Building maintenance services,Programmed Facility Management Pty Ltd,36221.2 AUD,04-Sep-2026,3630
INV305005,Waste management services,Cleanaway Waste Management Limited (AU),141487.72,2027-10-30,3556
INV305006,Tree management maintenance services,Citywide Service Solutions P/L,175393.94,29-May-2028,3678
INV305007,Parking technology services,Reino International Pty ,99786.4,11-Jun-2028,3623
INV305008,Parking technology services,Menzies,"$197,767.16",23/11/2026,3634
INV305009,Building maintenance services,Programmed Facility Management Pty Ltd (AUS),0.1m,16/11/2029,3630
INV305010,Street cleaning,Spotless Facility Services Pty Ltd,247188.34,17-Jan-2026,3669
INV305011,Street cleaning,Spotless Ftcility Services Pty Ltd,52198.92,2025-05-26,3669
INV305012,Melbourne Town Hall venue management,Showtime Event,155051.86,19-May-2028,3670
INV305013,Waste management services,Cleanaway,23450.31 AUD,06 April 2028,3556
INV305014,Management of Active Melbourne recreation facilities,Victorian YMCA Community Programming P/L,"$123,112.85",25/06/09,3615
INV305015,Building cleaning services,Menzies International (Aust) Pty Ltd (AUS),20414.09,06 May 2028,3634
INV305016,Parking technology services,ReinoInternationalPtyLtdT/ADuncanSolutions,202819.59,21/08/2025,3623
INV305017,Open spaces management - region 1,Citywide,131781.23 AUD,2025-06-23,3676
INV305018,Parking technology services,Reino International Pty Ltd T/A Duncan Solutions,21346.83,08/06/2026,3623
INV305019,Open spaces management - region 2,SERCO,97244.93 AUD,2028-06-19,3677
INV305020,Graffiti management and pressure cleaning services,Calcorp Services Pty Ltd (AUS),"$182,666.56",26/12/08,3668
INV305021,Parking technology services,Reino International Pty Ltd T/A Duncan Solutions,0.1m,11/03/2026,3623
INV305022,Graffiti management and pressure cleaning services,Calcorp Services Pty Ltd,"$128,787.74",29/11/2027,3668
INV305023,Melbourne Town Hall venue management,Showtime EventrGroup Pty Ltd,200495.62 AUD,2025-03-09,3670
INV305024,Graffiti management and pressure cleaning services,Calcorp  Services  Pty  Ltd,"$11,642.35",21 April 2029,3668
INV305025,Civil infrastructure services,Citywide Service Solutions Pty Ltd,"$73,585.93",26/12/12,3665
INV305026,Parking technology services,Reino  International  Pty  Ltd  T/A  Duncan  Solutions,209384.02 AUD,02 January 2029,3623
INV305027,Building maintenance services,Programmed,0.0m,28/11/12,3630
INV305028,Street cleaning,Spotless Facility Services Pty Ltd,"$179,091.09",07-Sep-2025,3669
