InvoiceID,ContractTitle,Provider,InvoiceAmount,InvoiceDate,ContractNumber
INV233001,Vehicle tow away and impound services,NATIONWIDE TOWING SERVICES,197746.66,18 May 2027,3585
INV233002,Open spaces management - region 1,Citywide Service Solutions Pty. Ltd.,0.1m,26-Feb-2026,3676
INV233003,Civil infrastructure services,citywide service solutions pty ltd,0.2m,05-Jun-2029,3665
INV233004,Open spaces management - region 1,Citywide,131154.19 AUD,01-May-2028,3676
INV233005,Building maintenance services,PROGRAMMED FACILITY MANAGEMENT PTY LTD,140962.1,06 July 2027,3630
INV233006,Vehicle tow away and impound services,NATIONWIDE TOWING SERVICES,50731.43 AUD,02 May 2028,3585
INV233007,Open spaces management - region 1,CITYWIDE SERVICE SOLUTIONS PTY LTD,170366.83 AUD,10/02/2029,3676
INV233008,Building maintenance services,PROGRAMMED FACILITY MANAGEMENT PTY LTD,82987.3,10/05/2027,3630
INV233009,Open spaces management - region 2,SERCO,730.06 AUD,08/10/2027,3677
INV233010,Waste management services,Cleanaway Waste Management Limited,176392.73,2025-03-06,3556
INV233011,Parking technology services,Reino International Pty Ltd T/A Duncan Solutions,0.0m,15/03/2028,3623
INV233012,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd (AUS),"$194,251.56",21-Jul-2027,3670
INV233013,Graffiti management and pressure cleaning services,Calcorp Services Pty Ltd,"$98,141.46",27/03/2025,3668
INV233014,Waste management services,Cleanaway Warte Management Limited,145361.34,15-Apr-2026,3556
INV233015,Waste management services,Cleanaway Waste Mgmt Limited,15412.96 AUD,10/03/2026,3556
INV233016,Integrated security services,National Protective Services Pty Ltd,27199.72,15-Jun-2029,3686
INV233017,Tree management maintenance services,Citywide Service Solutions Pty. Ltd.,16755.38,25/05/17, 
INV233018,Integrated security services,NationalProtectiveServicesPtyLtd,125010.17 AUD,16 February 2026,3686
INV233019,Integrated security services,National,15691.64 AUD,08/12/2025,3686
INV233020,Waste management services,Cleanaway Waste M,"$10,325.39",04/12/2029,3556
INV233021,Melbourne Town Hall venue management,Showtime,"$100,542.23",11/01/2026,3670
INV233022,Civil infrastructure services,Citywide Service Solutions P/L,183228.48,,3665
INV233023,Civil infrastructure services,NationwideTowingServices,"$61,924.5",16/07/2025,3585
INV233024,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd (AU),0.1m,11-May-2025, 
INV233025,Street cleaning,spotless facility services pty ltd,128188.32 AUD,27/12/2027,3669
INV233026,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd (AUS),71635.7 AUD,2025-09-15,3670
INV233027,Street cleaning,Spotless Facility Services Pty Ltd,131390.39,29 July 2025,3669
INV233028,Street cleaning,Reino Intl Pty Ltd T/A Duncan Solutions,0.1m,05 January 2027,3623
INV233029,Building cleaning services,Menzies International (Aust) Pty Ltd,0.2m,17-Feb-2026,3634
INV233030,Open spaces management - region 1,citywide service solutions pty ltd,153321.69,27-Aug-2026,3676
INV233031,Integrated security services,national protective services pty ltd,91787.05,10/10/2026,3686
INV233032,Tree management maintenance services,CitywideServiceSolutionsPtyLtd,0.1m,15/12/2029,3678
INV233033,Melbourne Town Hall venue management,showtime event group pty ltd,"$31,965.68",22/10/2025,3670
INV233034,Integrated security services,National,0.2m,19 March 2028,3686
INV233035,Building maintenance services,Programmed Facility Management Pty Ltd (AUS),174365.84 AUD,19/01/2025,3630
INV233036,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd,0.2m,21/07/2026, 
INV233037,Parking technology services,Reino International Pty Ltd T/A Duncan Solutions,88877.03 AUD,22 April 2027,3623
INV233038,Building cleaning services,Menzies International (Aust) Pty Ltd,0.2m,02-Sep-2026,3634
INV233039,Open spaces management - region 2,SERCO,0.2m,29/12/23,3677
INV233040,Street cleaning,Spotless Facility Sekvices Pty Ltd,44125.36 AUD,21 April 2027,3669
INV233041,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd,"$246,542.51",05/11/2026,3670
INV233042,Integrated security services,National,205827.47 AUD,27/08/01,3686
INV233043,Melbourne Town Hall venue management,Showtime Event Grxup Pty Ltd,"$200,771.17",19/01/2029,3670
INV233044,Street cleaning,Spotless Facility Services Pty. Ltd.,0.0m,2026-03-09,3669
INV233045,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd,175700.02 AUD,28/11/26,3670
INV233046,Vehicle tow away and impound services,Nationwide Towing Services,220773.74,2026-02-03,3585
INV233047,Parking technology services,Reino International Pty Ltd T/A Duncan Solutions (AU),0.2m,27/07/29,3623
INV233048,Street cleaning,Spotless Facility,25798.57 AUD,28/05/07,3669
INV233049,Waste management services,cleanaway waste management limited,185525.07,23-Apr-2028,3556
INV233050,Vehicle tow away and impound services,Nationwide Towing Services,62472.28,28/12/10,3585
INV233051,Civil infrastructure services,CITYWIDE SERVICE SOLUTIONS PTY LTD,"$9,216.96",27/07/12,3665
INV233052,Graffiti management and pressure cleaning services,Calcorp Serv,95201.26,01/02/2026,3668
INV233053,Street cleaning,spotless facility services pty ltd,"$2,654.38",09 October 2028,3669
INV233054,Tree management maintenance services,Citywide,144317.09,26-Oct-2027,3678
INV233055,Building maintenance services,Programmed  Facility  Management  Pty  Ltd,0.2m,2027-06-03,3630
INV233056,Street cleaning,Spotless Facility Services Pty Ltd,159229.42,14-Apr-2029,3669
INV233057,Tree management maintenance services,Citywide Service Solutions Pty Ltd,"$22,987.66",04/02/2027,3678
INV233058,Building cleaning services,Menzies Intl (Aust) Pty Ltd,167788.92,02/10/2028,3634
INV233059,Civil infrastructure services,CITYWIDE SERVICE SOLUTIONS PTY LTD,149178.69 AUD,25 October 2025,3665
INV233060,Integrated security services,National Protectiv,0.1m,30 October 2028,3686
INV233061,Civil infrastructure services,citywide service solutions pty ltd,240885.4,22-Oct-2025,3665
INV233062,Graffiti management and pressure cleaning services,Calcorp Services Pty Ltd (AUS),169593.16,03 September 2027,3668
INV233063,Civil infrastructure services,CITYWIDE SERVICE SOLUTIONS PTY LTD,188414.5 AUD,28 March 2025, 
INV233064,Open spaces management - region 2,SERCO,142635.79 AUD,19/08/2027,3677
INV233065,Graffiti management and pressure cleaning services,Calcorp Services Pty Ltd,113206.12 AUD,21/07/2028,3668
INV233066,Open spaces management - region 1,Citywide Service Solutions Pty Ltd (AUS),0.1m,24/08/2026,3676
INV233067,Building maintenance services,PROGRAMMED FACILITY MANAGEMENT PTY LTD,0.2m,27/10/28,3630
INV233068,Civil infrastructure services,SERCO,"$159,737.86",25/07/03,3677
INV233069,Integrated security services,National Protective Services Pty Ltd (AU),60068.65,01/11/2025,3686
INV233070,Open spaces management - region 1,Citywide Service ,188506.55,12/06/2027,3676
