InvoiceID,ContractTitle,Provider,InvoiceAmount,InvoiceDate,ContractNumber
INV179001,Street cleaning,SERCO,121840.09,31/12/2027,3677
INV179002,Parking technology services,Reino International Pty Ltd T/A Duncan Solutions,0.2m,27/12/01,3623
INV179003,Open spaces management - region 2,SERCO,"$76,158.96",29/08/06,3677
INV179004,Waste management services,Cleanaway Waste Management Ltd,164582.52,30 April 2025,3556
INV179005,Open spaces management - region 2,SERCO (AUS),234721.1,2028-01-22,3677
INV179006,Building maintenance services,Programmed Facility Management P/L,113470.48 AUD,2025-09-03,3630
INV179007,Open spaces management - region 2,SERCO,2672.61,29/12/2026,3677
INV179008,Graffiti management and pressure cleaning services,Calcorp Services Pty Ltd,0.1m,27/06/26,3668
INV179009,Vehicle tow away and impound services,NationwideTowingServices,0.2m,17/03/2027,3585
INV179010,Building cleaning services,menzies international (aust) pty ltd,119155.71 AUD,30-Aug-2027,3634
INV179011,Integrated security services,Calcorp Services Pty Ltd,7585.13 AUD,16-May-2029,3668
INV179012,Open spaces management - region 1,Citywide Service Solutions Pty Ltd,139679.28,04/11/2027,3676
INV179013,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd (AUS),0.2m,30-Dec-2026,3670
INV179014,Civil infrastructure services,Citywide Service Solutions Pty Ltd (AU),"$217,638.81",2029-06-13,3665
INV179015,Building cleaning services,Menzies International (Aust) Pty atd,23286.31,05-Jul-2029,3634
INV179016,Open spaces management - region 1,Citywide  Service  Solutions  Pty  Ltd,55807.23,20/04/2026,3676
INV179017,Integrated security services,showtime event group pty ltd,130028.37 AUD,2025-02-21,3670
INV179018,Vehicle tow away and impound services,Nationwide Towing Services,"$88,136.9",26 March 2027,3585
INV179019,Integrated security services,National Protective Services Pty Ltd,"$86,838.71",28/08/21,3686
INV179020,Waste management services,Cleanaway Waste Management Limited,0.2m,05-May-2026,3556
INV179021,Integrated security services,NationalProtectiveServicesPtyLtd,143860.21,20/05/2027,3686
INV179022,Management of Active Melbourne recreation facilities,Victorian  YMCA  Community  Programming  Pty  Ltd,156883.17 AUD,26/07/03,3615
INV179023,Open spaces management - region 1,Citywide Service ,131941.77 AUD,2029-03-17,3676
INV179024,Open spaces management - region 2,SERCO,6012.3,20 May 2028,3677
INV179025,Open spaces management - region 2,SERCO,60685.21 AUD,25/03/11,3677
INV179026,Integrated security services,National Protective Services P/L,0.1m,30/08/2027,3686
INV179027,Parking technology services,reino international pty ltd t/a duncan solutions,65521.71,27 March 2028,3623
INV179028,Building cleaning services,Menzies  International  (Aust)  Pty  Ltd,0.1m,2027-06-20,3634
INV179029,Management of Active Melbourne recreation facilities,VictorianoYMCA Community Programming Pty Ltd,178979.64,20/07/2028,3615
INV179030,Building maintenance services,Programmed Facility Management Pty Ltd,67449.23 AUD,20/04/2026,3630
INV179031,Civil infrastructure services,citywide service solutions pty ltd,233474.26,29/01/16,3665
INV179032,Street cleaning,Spotless Facility,0.2m,25/04/30,3669
INV179033,Building cleaning services,Menzies International (Aust) Pty Ltd (AU),95931.95,16/01/2029,3634
INV179034,Graffiti management and pressure cleaning services,Calcorp Serv,89479.05,2027-03-16,3668
INV179035,Open spaces management - region 1,Citywide Service Solutions Pty. Ltd.,"$230,803.46",27 April 2027,3676
INV179036,Civil infrastructure services,Citywide Service Solutions Pty. Ltd.,"$51,092.36",29/11/09,3665
INV179037,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd (AUS),18040.91,14 February 2025, 
INV179038,Civil infrastructure services,Citywide Service ,133762.9,29/11/03,3665
INV179039,Open spaces management - region 2,SERCO,236457.54 AUD,18/05/2029, 
INV179040,Graffiti management and pressure cleaning services,Calcorp Services Pty Ltd,0.2m,06-Mar-2026,3668
INV179041,Management of Active Melbourne recreation facilities,VictorianYMCACommunityProgrammingPtyLtd,18182.8 AUD,06/03/2025,3615
INV179042,Vehicle tow away and impound services,NationwideTowingServices,0.2m,04/03/2027,3585
INV179043,Melbourne Town Hall venue management,SHOWTIME EVENT GROUP PTY LTD,"$171,869.92",13-Jul-2025,3670
INV179044,Open spaces management - region 2,SERCO,0.0m,2025-06-06,3677
INV179045,Graffiti management and pressure cleaning services,calcorp services pty ltd,143046.2,31-Oct-2028,3668
INV179046,Waste management services,Cleanaway Waste Management Limited,178238.98 AUD,2028-09-30,3556
INV179047,Street cleaning,Spotless Facility Services Pty Ltd (AU),71206.65,24/11/2029,3669
INV179048,Street cleaning,Spotless Facility Services Pty Ltd,189114.75,25/07/2025,3669
INV179049,Building maintenance services,Programmed Facility Management Pty Ltd,152038.64 AUD,2025-03-17,3630
INV179050,Civil infrastructure services,CITYWIDE SERVICE SOLUTIONS PTY LTD,217751.59 AUD,18 May 2027,3665
INV179051,Management of Active Melbourne recreation facilities,Victorian  YMCA  Community  Programming  Pty  Ltd,,01/04/2027,3615
INV179052,Street cleaning,Spotless Facility Services Pty Ltd,169958.76 AUD,05/05/2027, 
INV179053,Civil infrastructure services,citywide service solutions pty ltd,0.1m,24/09/2028,3665
INV179054,Management of Active Melbourne recreation facilities,Victorian,114836.64 AUD,28/05/26,3615
INV179055,Building cleaning services,Menzies International (Aust) Pty Ltd (AU),208162.59,16/01/2029,3634
INV179056,Tree management maintenance services,Citywide Service ,,28/05/13,3678
INV179057,Management of Active Melbourne recreation facilities,VictorianYMCACommunityProgrammingPtyLtd,"$190,871.07",06/03/2026,3615
INV179058,Melbourne Town Hall venue management,Showtime  Event  Group  Pty  Ltd,0.2m,08/04/2027,3670
INV179059,Building cleaning services,Menzies International (Aust) Pty Ltd,55737.94,2027-08-31,3634
INV179060,Melbourne Town Hall venue management,Showtime Event Group Pty Ltt,"$214,550.14",2025-01-07,3670
INV179061,Melbourne Town Hall venue management,Victorian YMCA Community Progradming Pty Ltd,136728.13 AUD,06 August 2028,3615
INV179062,Vehicle tow away and impound services,NationwideTowingServices,"$106,287.97",11/10/2029,3585
INV179063,Open spaces management - region 2,SERCO,"$140,975.32",27/04/16,3677
INV179064,Civil infrastructure services,Citywide Service Solutions P/L,240097.45,01/02/2027,3665
INV179065,Building cleaning services,Menzies,139726.1 AUD,10/10/2026,3634
INV179066,Vehicle tow away and impound services,Nationwide To,"$240,588.77",15/12/2027,3585
INV179067,Street cleaning,Spotless  Facility  Services  Pty  Ltd,26930.12,17-Sep-2028,3669
INV179068,Graffiti management and pressure cleaning services,Cawcorp Services Pty Ltd,"$27,556.76",20/06/2026,3668
INV179069,Vehicle tow away and impound services,Nationwide,146087.15,13 March 2025,3585
INV179070,Civil infrastructure services,Citywide  Service  Solutions  Pty  Ltd,201201.55 AUD,12-Apr-2025, 
INV179071,Vehicle tow away and impound services,Nationwide To,"$136,837.51",25/11/04,3585
INV179072,Tree management maintenance services,Citywide Service ,0.1m,04-Jan-2029,3678
INV179073,Integrated security services,National Protective Services P/L,68457.87,2026-09-29,3686
INV179074,Management of Active Melbourne recreation facilities,VictorianYMCACommunityProgrammingPtyLtd,"$59,542.75",2028-02-15, 
INV179075,Management of Active Melbourne recreation facilities,Victorian YMCA Communiwy Programming Pty Ltd,61057.14,15/08/2027,3615
INV179076,Street cleaning,Spotless Facility Services Pty Ltd,"$198,362.88",,3669
INV179077,Vehicle tow away and impound services,Nationwide Towing Services,89085.9 AUD,09-May-2025,3585
INV179078,Building cleaning services,Menzies Int’l (Aust) Pty Ltd,101251.39,28/03/22,3634
INV179079,Parking technology services,Reino Intl Pty Ltd T/A Duncan Solutions,186035.59 AUD,2025-12-18,3623
INV179080,Vehicle tow away and impound services,NationwideTowingServices,0.1m,2025-06-18,3585
INV179081,Vehicle tow away and impound services,Nationwide Towing Services (AUS),61878.17 AUD,18 March 2029,3585
INV179082,Parking technology services,Reino Intl Pty Ltd T/A Duncan Solutions,5448.94 AUD,28/09/2026,3623
INV179083,Melbourne Town Hall venue management,SHOWTIME EVENT GROUP PTY LTD,"$108,319.32",13 March 2027,3670
INV179084,Integrated security services,NationalProtectiveServicesPtyLtd,22335.29 AUD,29 April 2027,3686
INV179085,Street cleaning,Spotless Facility Services Pty. Ltd.,"$113,231.88",22 November 2028,3669
INV179086,Parking technology services,Reino International Pty Ltd T/A Duncan Solutions,109388.31 AUD,14/10/2028,3623
INV179087,Vehicle tow away and impound services,Nationwide Towing Services,16737.01,20/02/2028,3585
INV179088,Tree management maintenance services,Citywide Service Solutions Pty Ltd (AU),19967.59 AUD,27/11/18,3678
INV179089,Building cleaning services,Menzies  International  (Aust)  Pty  Ltd,"$8,513.5",10/06/2027,3634
INV179090,Graffiti management and pressure cleaning services,Calcorp Services Pty Ltd,"$136,315.77",2026-01-20,3668
INV179091,Management of Active Melbourne recreation facilities,Victorian Ymca Community Programming Pty Ltd,66172.25 AUD,2029-08-23,3615
INV179092,Management of Active Melbourne recreation facilities,Victorian YMCA Community Programming Pty Ltd,41067.61,2029-08-20,3615
INV179093,Parking technology services,Reino International Pty. Ltd. T/A Duncan Solutions,57521.54,15/10/2028,3623
INV179094,Open spaces management - region 2,SERCO,171304.45 AUD,2029-11-15,3677
INV179095,Graffiti management and pressure cleaning services,Calcorp Serv,0.2m,23/06/2025,3668
INV179096,Civil infrastructure services,Citywide Service Solutions Pty Ltd,44541.65,07-Jul-2025,3665
INV179097,Management of Active Melbourne recreation facilities,tictorian YMCA Community Programming Pty Ltd,0.2m,23/02/2026,3615
INV179098,Tree management maintenance services,Citywide Service Solutions Pty Ltd,45322.57,2026-12-20,3678
INV179099,Building cleaning services,Menzies International (Aust) Pty. Ltd.,147906.09,30/01/2027,3634
INV179100,Melbourne Town Hall venue management,Showtime,235764.8,01-Mar-2026,3670
INV179101,Management of Active Melbourne recreation facilities,VictorianYMCACommunityProgrammingPtyLtd,209046.61 AUD,15 July 2026,3615
INV179102,Integrated security services,NATIONAL PROTECTIVE SERVICES PTY LTD,203751.54,2029-12-29,3686
INV179103,Civil infrastructure services,Citywide Service Solutions Pty Ltd,"$32,496.62",11 August 2028,3665
INV179104,Street cleaning,SpotlessFacilityServicesPtyLtd,203887.39,12/05/2029,3669
INV179105,Open spaces management - region 2,Serco,0.0m,02/10/2026,3677
INV179106,Street cleaning,SPOTLESS FACILITY SERVICES PTY LTD,"$24,230.98",28/10/14,3669
INV179107,Parking technology services,ReinoInternationalPtyLtdT/ADuncanSolutions,0.0m,29/02/08,3623
INV179108,Open spaces management - region 1,CITYWIDE SERVICE SOLUTIONS PTY LTD,18089.81,23/07/2025,3676
INV179109,Tree management maintenance services,citywide service solutions pty ltd,80002.28 AUD,27/12/28, 
INV179110,Open spaces management - region 2,Menzies  International  (Aust)  Pty  Ltd,134522.83,31/05/2029,3634
INV179111,Waste management services,Cleanaway Waste Management LTD,0.1m,03/11/2027,3556
INV179112,Melbourne Town Hall venue management,ShowtimeEventGroupPtyLtd,"$44,046.49",28/04/09,3670
INV179113,Open spaces management - region 2,SERCO (AU),0.2m,09 October 2029,3677
INV179114,Parking technology services,Reino International Pty Ltd T/A Duncan Solutions,"$111,287.48",02 January 2027,3623
INV179115,Open spaces management - region 2,SERCO,"$145,498.67",28/10/01,3677
INV179116,Building maintenance services,Programmed,"$185,599.37",21/07/2029,3630
INV179117,Tree management maintenance services,CITYWIDE SERVICE SOLUTIONS PTY LTD,234554.48,28/03/11,3678
INV179118,Waste management services,Cleanaway  Waste  Management  Limited,"$210,470.12",29-Jul-2026,3556
INV179119,Vehicle tow away and impound services,Nationwide Towing Services,229123.55,2026-04-21,3585
INV179120,Tree management maintenance services,CITYWIDE SERVICE SOLUTIONS PTY LTD,248375.85 AUD,25/04/19,3678
INV179121,Waste management services,Cleanaway Waste Management LTD,249726.73,14/06/2028,3556
INV179122,Graffiti management and pressure cleaning services,Calcorp Services Pty Ltd (AU),0.1m,27 January 2026,3668
INV179123,Integrated security services,National Protective Services Pty Ltd (AUS),122989.43 AUD,28/01/14,3686
INV179124,Building cleaning services,Menzies  International  (Aust)  Pty  Ltd,221597.25 AUD,06/06/2026,3634
INV179125,Building maintenance services,Programmed Facility Management Pty Ltd (AU),174295.78 AUD,27-Apr-2027,3630
INV179126,Graffiti management and pressure cleaning services,Calcorp Servixes Pty Ltd,96761.89,03 January 2026,3668
