InvoiceID,ContractTitle,Provider,InvoiceAmount,InvoiceDate,ContractNumber
INV109001,Graffiti management and pressure cleaning services,Calcorp,89663.7,29/02/19,3668
INV109002,Waste management services,CleanawayWasteManagementLimited,0.0m,25/02/23,3556
INV109003,Vehicle tow away and impound services,Nationwide Towing Services,55144.09,28-Jan-2028,3585
INV109004,Building cleaning services,Menzies Intl (Aust) Pty Ltd,68979.65,01/10/2025,3634
INV109005,Street cleaning,Spotless Facility Services Pty. Ltd.,66340.26,26/12/22,3669
INV109006,Vehicle tow away and impound services,Nationwide  Towing  Services,0.1m,28/03/18,3585
INV109007,Civil infrastructure services,CitywideServiceSolutionsPtyLtd,68567.26 AUD,15/05/2029,3665
INV109008,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd,120097.07 AUD,08/05/2027,3670
INV109009,Graffiti management and pressure cleaning services,Calcorp Services Pty Ltd (AU),0.2m,25 February 2027,3668
INV109010,Integrated security services,National Protective Services Pty Ljd,"$227,070.0",07-Oct-2026,3686
INV109011,Graffiti management and pressure cleaning services,Calcorp Services Pty Ltd,0.1m,24/12/2027,3668
INV109012,Open spaces management - region 2,SERCO,"$148,648.43",2027-05-27,3677
INV109013,Integrated security services,National Protective Servipes Pty Ltd,74933.91,25/05/19,3686
INV109014,Parking technology services,Reino International Pty Ltd T/A Duncan Solutions (AU),"$78,074.09",2029-08-01,3623
INV109015,Management of Active Melbourne recreation facilities,Victorian YMCA Community Programming Pty. Ltd.,192307.98,20 December 2028,3615
INV109016,Tree management maintenance services,CitywideServiceSolutionsPtyLtd,0.2m,2026-10-24,3678
INV109017,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd (AUS),"$144,242.74",2027-07-07,3670
INV109018,Vehicle tow away and impound services,NATIONWIDE TOWING SERVICES,0.0m,28/10/20,3585
INV109019,Parking technology services,Reino  International  Pty  Ltd  T/A  Duncan  Solutions,,27/07/03,3623
INV109020,Graffiti management and pressure cleaning services,Calcorp Services Pty Ltd,"$176,722.72",02/01/2028,3668
INV109021,Waste management services,Cleanaway Waste Management Limited,95175.35 AUD,24/05/2027,3556
INV109022,Building cleaning services,Menzies Internatio,124572.0,2029-01-28,3634
INV109023,Vehicle tow away and impound services,Nationwide,99393.0 AUD,,3585
INV109024,Management of Active Melbourne recreation facilities,victorian ymca community programming pty ltd,124553.11,27/06/2028,3615
INV109025,Civil infrastructure services,Citywide Service Solutions Pty Ltd,0.0m,26/01/2029,3665
INV109026,Building maintenance services,Programmed Facility,"$159,360.72",15-May-2025,3630
INV109027,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd (AU),"$148,272.7",27-May-2025,3670
INV109028,Vehicle tow away and impound services,NationwideTowingServices,199194.35,2027-12-02,3585
INV109029,Building cleaning services,Menzies International (Aust) P/L,0.1m,2029-05-05,3634
INV109030,Open spaces management - region 2,Serco,"$196,829.67",05/02/2029,3677
INV109031,Parking technology services,Reino International Pty Ltd T/A Duncan Solutions,66760.33,2029-06-17,3623
INV109032,Building maintenance services,Programmed Facility Mgmt Pty Ltd,"$93,599.81",09-Dec-2027,3630
INV109033,Street cleaning,SPOTLESS FACILITY SERVICES PTY LTD,0.2m,11-Jul-2026, 
INV109034,Building maintenance services,Programmed Facility Mgmt Pty Ltd,"$62,141.98",03-Feb-2027,3630
INV109035,Building maintenance services,Programmed Facility,102692.02,20/01/2029,3630
INV109036,Graffiti management and pressure cleaning services,Calcorp Services Pty. Ltd.,232372.4,12 February 2026,3668
INV109037,Civil infrastructure services,CitywideServiceSolutionsPtyLtd,"$145,673.72",05 July 2029,3665
INV109038,Parking technology services,reino international pty ltd t/a duncan solutions,95586.06,17/08/2028,3623
INV109039,Integrated security services,NATIONAL PROTECTIVE SERVICES PTY LTD,105297.67,29/09/17,3686
INV109040,Tree management maintenance services,Citywide Service Solutions Pty Ltd (AU),66594.66,16/10/2026,3678
INV109041,Building cleaning services,MENZIES INTERNATIONAL (AUST) PTY LTD,15902.52,12-Jun-2027,3634
INV109042,Integrated security services,National Protective Services Pty Ltd (AUS),0.0m,08/11/2029,3686
INV109043,Vehicle tow away and impound services,Nationwide Towing Services (AU),0.1m,07 July 2027,3585
INV109044,Building cleaning services,Menzies Internatio,43725.86,15/10/2028,3634
INV109045,Tree management maintenance services,Citywide Service Solutions Pty Ltd,"$196,296.43",27/01/31,3678
INV109046,Waste management services,Cleanaway Waste Mgmt Limited,0.2m,24/08/2029,3556
INV109047,Waste management services,Cleanaway Waste Management Limited,146506.83,29/02/04,3556
INV109048,Open spaces management - region 1,Citywide Service Solutions Pty. Ltd.,"$230,012.92",2029-08-27,3676
INV109049,Graffiti management and pressure cleaning services,Citywide Service Solutions P/L,0.1m,25/08/06,3678
INV109050,Integrated security services,NationalProtectiveServicesPtyLtd,0.2m,27/08/07,3686
INV109051,Street cleaning,NATIONWIDE TOWING SERVICES,57127.16 AUD,15 August 2027,3585
INV109052,Street cleaning,Spotless  Facility  Services  Pty  Ltd,0.2m,2029-04-21,3669
