InvoiceID,ContractTitle,Provider,InvoiceAmount,InvoiceDate,ContractNumber
INV316001,Building maintenance services,Programmed Facility Management Pty Ltd (AUS),"$16,683.35",28/06/03, 
INV316002,Building cleaning services,Menzies Internatiodal (Aust) Pty Ltd,"$70,595.8",26/10/30,3634
INV316003,Building maintenance services,Programmed Facility Management P/L,88980.74,18 May 2029,3630
INV316004,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd (AUS),86380.26,2029-10-13,3670
INV316005,Graffiti management and pressure cleaning services,Calcorp Services P/L,28138.84,28/12/16,3668
INV316006,Open spaces management - region 1,Citywide Service Solutions Pty Ltd,226861.04,11-Sep-2026,3676
INV316007,Civil infrastructure services,Citywide,90386.41,25/10/23, 
INV316008,Open spaces management - region 1,Citywide Service Solutions Pty Ltd,0.0m,16-Dec-2027,3676
INV316009,Tree management maintenance services,CITYWIDE SERVICE SOLUTIONS PTY LTD,"$192,024.57",28/01/23,3678
INV316010,Management of Active Melbourne recreation facilities,Victorian YMCA Community Programming Pty. Ltd.,211888.31,26/10/2028,3615
INV316011,Waste management services,Cleanaway Waste Management Limited (AUS),169847.8,2026-08-08,3556
INV316012,Parking technology services,Reino International P/L T/A Duncan Solutions,36550.49 AUD,2027-08-13,3623
INV316013,Tree management maintenance services,Citywide Service Solutions P/L,0.2m,18/05/2028,3678
INV316014,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd,144433.7 AUD,26-Nov-2027,3670
INV316015,Graffiti management and pressure cleaning services,Calcorp Services Pty Ltd (AUS),192561.76,12 May 2028,3668
INV316016,Tree management maintenance services,Citywide Service Solutions Pty Ltd,0.2m,11/11/2028,3678
INV316017,Civil infrastructure services,CITYWIDE SERVICE SOLUTIONS PTY LTD,10164.4,2026-03-20,3665
INV316018,Parking technology services,Reino Intl Pty Ltd T/A Duncan Solutions,48264.4,06/01/2027,3623
INV316019,Parking technology services,Reino International Pty Ltd T/A Duncan Solutions,"$246,560.68",14/09/2027,3623
INV316020,Civil infrastructure services,CitywideServiceSolutionsPtyLtd,"$152,039.38",2027-05-17,3665
INV316021,Melbourne Town Hall venue management,Showtime Event,"$204,993.98",29/08/01,3670
INV316022,Parking technology services,Reino International Pty Ltd T/A Duncan Solutions (AUS),0.2m,2028-03-12,3623
INV316023,Melbourne Town Hall venue management,Showtime,34793.7 AUD,05 November 2026,3670
INV316024,Building cleaning services,Menzies International (Aust) Pty Ltd,150745.8,28/07/25,3634
INV316025,Open spaces management - region 2,Serco,"$91,655.57",15 December 2025,3677
INV316026,Building maintenance services,PROGRAMMED FACILITY MANAGEMENT PTY LTD,0.2m,17 August 2028,3630
INV316027,Tree management maintenance services,citywide service solutions pty ltd,"$22,849.3",2026-04-18,3678
INV316028,Tree management maintenance services,Citywide Service Solutions Pty Ltd,0.1m,24/02/2028,3678
INV316029,Civil infrastructure services,Citywide,178178.41,2025-06-29,3665
INV316030,Graffiti management and pressure cleaning services,CALCORP SERVICES PTY LTD,0.1m,27-Oct-2025,3668
