InvoiceID,ContractTitle,Provider,InvoiceAmount,InvoiceDate,ContractNumber
INV171001,Tree management maintenance services,Citywide Service Solutions Pty Ltd (AU),72350.62,08/06/2027,3678
INV171002,Management of Active Melbourne recreation facilities,Victorian YMCA Community Programming Pty Ltd (AUS),139408.12 AUD,21/09/2026,3615
INV171003,Parking technology services,Reino International Pty Ltd T/A Duncan Solutions,0.2m,15/01/2026,3623
INV171004,Building maintenance services,Programmed  Facility  Management  Pty  Ltd,189823.92,,3630
INV171005,Open spaces management - region 2,SERCO,"$237,922.39",18-Jul-2028,3677
INV171006,Open spaces management - region 2,SERCO (AUS),139918.44 AUD,03/07/2027,3677
INV171007,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd,134601.04 AUD,26-Jan-2028, 
INV171008,Building maintenance services,programmed facility management pty ltd,197916.42 AUD,2026-05-18,3630
INV171009,Parking technology services,Reino International P/L T/A Duncan Solutions,0.1m,09/07/2025,3623
INV171010,Vehicle tow away and impound services,Nationwide  Towing  Services,120017.53,2025-11-29,3585
INV171011,Tree management maintenance services,Citywide Service Solutions Pty Ltd (AU),61342.34,06/06/2026,3678
INV171012,Street cleaning,Spotless Facility Services Pty Ltd,"$231,205.91",2025-05-23,3669
INV171013,Building cleaning services,Menzies,189890.98 AUD,30/11/2027,3634
INV171014,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd (AUS),"$160,546.64",27-Aug-2028,3670
INV171015,Waste management services,Cleanaway Waste Management LTD,43189.96 AUD,2025-12-15,3556
INV171016,Open spaces management - region 2,SERCO,"$194,544.28",22/03/2025,3677
INV171017,Integrated security services,NationalProtectiveServicesPtyLtd,"$148,515.62",21 December 2027,3686
INV171018,Building maintenance services,Programmed Facility Management P/L,72237.76,23-May-2026,3630
INV171019,Vehicle tow away and impound services,nationwide towing services,143834.43 AUD,27/01/08,3585
INV171020,Management of Active Melbourne recreation facilities,Victorian YMCA Community Programming Pty. Ltd.,0.1m,25/12/23,3615
INV171021,Parking technology services,Reino International Pty ,201073.39 AUD,06/08/2028,3623
INV171022,Management of Active Melbourne recreation facilities,Victorian,76706.84,12-Feb-2029,3615
INV171023,Waste management services,CleanawayWasteManagementLimited,13931.93 AUD,26/06/15,3556
INV171024,Management of Active Melbourne recreation facilities,Victorian YMCAuCommunity Programming Pty Ltd,100259.15 AUD,01-Aug-2029,3615
INV171025,Graffiti management and pressure cleaning services,Calcorp,69903.07,31/10/2026,3668
INV171026,Integrated security services,national protective services pty ltd,0.1m,26/03/01,3686
INV171027,Parking technology services,REINO INTERNATIONAL PTY LTD T/A DUNCAN SOLUTIONS,126388.28,15-Jan-2029,3623
INV171028,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd (AU),244577.79,16-Aug-2029,3670
INV171029,Open spaces management - region 2,SERCO,38661.6,31-Aug-2026,3677
INV171030,Vehicle tow away and impound services,Nationwide,201319.7 AUD,28/08/25,3585
INV171031,Management of Active Melbourne recreation facilities,Victorian YMCA Community Programming Pty Ltd,41501.07,2029-07-24,3615
INV171032,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd,"$95,520.42",29/01/04,3670
INV171033,Open spaces management - region 1,Citywide Service Solutions Pty Ltd (AUS),162554.42 AUD,01-Aug-2027,3676
INV171034,Management of Active Melbourne recreation facilities,Victorian YMCA Community arogramming Pty Ltd,215075.99,25/02/2026,3615
INV171035,Vehicle tow away and impound services,Nationwide Towing Services (AU),0.1m,25/01/2028,3585
INV171036,Integrated security services,national protective services pty ltd,174684.03 AUD,23/02/2025,3686
INV171037,Parking technology services,Reino,"$195,800.45",25/08/21, 
INV171038,Parking technology services,Reino  International  Pty  Ltd  T/A  Duncan  Solutions,5322.03 AUD,04/03/2026,3623
INV171039,Open spaces management - region 2,Serco,0.0m,2028-07-04,3677
